method,distinct_1,distinct_2,self_bleu,perplexity,avg_reward,win_rate_vs_baseline
baseline,0.34355312893742124,0.7018447018447018,0.32073127323590356,3.597542946850706,-1.0450107791367917,0.5
best_of_n,0.34851650647722526,0.7123346137430644,0.31190345965418387,3.139004118348136,-0.2033109320141375,0.94
aisp,0.3337468982630273,0.6815878378378378,0.340203461359142,3.4244264614437374,-0.786495065242052,0.66
tsallis_mppi,0.35453774385072095,0.7123050259965338,0.30204549334146397,3.4804885924734967,-0.7772357119619846,0.58
