method,average_reward,average_diversity,average_coherence,average_runtime_seconds
best_of_n,1.7936314344406128,0.9683163737280296,0.6034684777259827,45.32359839603305
greedy,1.5720990598201752,0.9061003186350087,0.5935202538967133,9.789365666452795
aisp,0.7032372057437897,0.8573080481036077,0.40642788261175156,179.54044791636989
tsallis_aisp,0.6506351754069328,0.8936170212765957,0.4231199696660042,204.35911839595065
